,758-oxalic,758c-135_benzoic,758d-1245_benzoic,731d-original,,,,,,
0.0048,0.0764784348599377,0.0317283872197167,0.02994981896716,0.0329098647017722,,,,,,
0.0288,0.0744457854284444,0.0320396366639141,0.0300133392618942,0.0329162167312456,,,,,,
0.0528,0.0748904274915835,0.0322492536365369,0.0302039001460967,0.0332973384996506,,,,,,
0.0768,0.0753985898494569,0.0328971606428254,0.0304008130597726,0.0337991488280506,,,,,,
0.1008,0.0751445086705202,0.0332782824112304,0.0306993584450232,0.0343073111859239,,,,,,
0.1248,0.0746363463126469,0.0336149399733215,0.0311567045671092,0.0347138410722226,,,,,,
0.1488,0.0751445086705202,0.0339515975354126,0.0313091532744712,0.0350632026932605,,,,,,
0.1728,0.0746363463126469,0.0343517753922378,0.0312583370386839,0.0354252683732453,,,,,,
0.1968,0.0751445086705202,0.0346947849838023,0.0315695864828813,0.0356602934637617,,,,,,
0.2208,0.0751445086705202,0.0349298100743188,0.0317220351902433,0.0359651908784857,,,,,,
0.2448,0.0744457854284444,0.0351076668995744,0.0319824683986534,0.0362700882932097,,,,,,
0.2688,0.0753985898494569,0.0353426919900908,0.0318300196912914,0.0365178174426729,,,,,,
0.2928,0.0746363463126469,0.0355840691100807,0.0319824683986534,0.0367083783268754,,,,,,
0.3168,0.0751445086705202,0.0357619259353363,0.0320396366639141,0.0368354189163438,,,,,,
0.3408,0.0751445086705202,0.0358254462300705,0.0323064219017976,0.0370196277710729,,,,,,
0.3648,0.0744457854284444,0.0358254462300705,0.0321984374007495,0.0369624595058121,,,,,,
0.3888,0.0751445086705202,0.0359461347900654,0.0322492536365369,0.0370196277710729,,,,,,
0.4128,0.0746363463126469,0.0361875119100553,0.0321984374007495,0.0371466683605412,,,,,,
0.4368,0.0748904274915835,0.0361303436447945,0.032465222638633,0.0372165406847488,,,,,,
0.4608,0.0751445086705202,0.0361303436447945,0.0324080543733723,0.0374071015689513,,,,,,
0.4848,0.0746363463126469,0.0362510322047894,0.032465222638633,0.0374706218636854,,,,,,
0.5088,0.0751445086705202,0.0364987613542527,0.032357238137585,0.0374706218636854,,,,,,
