,A,D,Keggin C,B,Cc,,,,,
,0 mL,0.1 mL,0.25 mL,0.5 mL,0.75 mL,BB (1mL),F(1.5 mL),G(1.75 mL),E(2 mL),
0.0024,0.147,0.1495,0.159,0.16335,0.1677,0.13275,0.0998,0.08858,0.07339
0.0144,0.1584,0.1615,0.1736,0.18585,0.1981,0.15185,0.1056,0.09486,0.07887
0.0264,0.172,0.174,0.1886,0.21085,0.2331,0.17245,0.1118,0.1016,0.085
0.0384,0.2036,0.2083,0.2309,0.2641,0.2973,0.22425,0.1512,0.1356,0.107
0.0504,0.247,0.2672,0.3064,0.3424,0.3784,0.2985,0.2186,0.1851,0.1456
0.0624,0.2843,0.3162,0.3683,0.41075,0.4532,0.3551,0.257,0.2209,0.1786
0.0744,0.3069,0.3336,0.4039,0.4471,0.4903,0.381,0.2717,0.2298,0.1871
0.0864,0.3246,0.3518,0.4261,0.47935,0.5326,0.408,0.2834,0.2385,0.1946
0.0984,0.3383,0.3683,0.442,0.50875,0.5755,0.4346,0.2937,0.2455,0.2017
0.1104,0.3524,0.3816,0.4624,0.53945,0.6165,0.4599,0.3033,0.2531,0.2099
0.1224,0.3658,0.3972,0.4789,0.5697,0.6605,0.48705,0.3136,0.2623,0.2178
0.1344,0.3803,0.4121,0.4927,0.595,0.6973,0.5105,0.3237,0.2697,0.2253
0.1464,0.3939,0.4254,0.5071,0.6231,0.7391,0.5362,0.3333,0.2788,0.2312
0.1584,0.4073,0.442,0.5227,0.64835,0.774,0.5592,0.3444,0.2875,0.239
0.1704,0.4197,0.4555,0.5363,0.6759,0.8155,0.58535,0.3552,0.2964,0.246
0.1824,0.434,0.4701,0.5512,0.70055,0.8499,0.60805,0.3662,0.3049,0.2527
0.1944,0.4472,0.4862,0.5646,0.728,0.8914,0.6335,0.3756,0.3131,0.2589
0.2064,0.4631,0.4994,0.5775,0.7506,0.9237,0.6548,0.3859,0.3225,0.2672
0.2184,0.4773,0.5166,0.5918,0.77885,0.9659,0.6815,0.3971,0.331,0.2732
0.2304,0.4903,0.5317,0.6067,0.8029,0.9991,0.70385,0.4086,0.3409,0.2798
0.2424,0.5045,0.5446,0.6209,0.82945,1.038,0.72955,0.4211,0.3504,0.2875
0.2544,0.5183,0.5617,0.6344,0.8497,1.065,0.7484,0.4318,0.3594,0.2948
0.2664,0.5344,0.5775,0.652,0.8815,1.111,0.77725,0.4435,0.3687,0.3012
0.2784,0.5493,0.5908,0.6666,0.9028,1.139,0.7969,0.4548,0.3788,0.3087
0.2904,0.5646,0.6077,0.6817,0.92735,1.173,0.8189,0.4648,0.3885,0.3164
0.3024,0.5755,0.6242,0.6973,0.95615,1.215,0.8458,0.4766,0.3991,0.3231
0.3144,0.5908,0.6368,0.7067,0.97185,1.237,0.8625,0.488,0.4079,0.3305
0.3264,0.6077,0.6544,0.7233,1.00215,1.281,0.8903,0.4996,0.4183,0.3391
0.3384,0.6209,0.6691,0.7391,1.02305,1.307,0.9102,0.5134,0.4282,0.3444
0.3504,0.6379,0.683,0.7524,1.0497,1.347,0.9359,0.5248,0.4383,0.3528
0.3624,0.6496,0.7013,0.7693,1.07015,1.371,0.9538,0.5366,0.448,0.3613
0.3744,0.6641,0.7149,0.7852,1.0976,1.41,0.9789,0.5478,0.4578,0.3675
0.3864,0.6791,0.7304,0.7984,1.1147,1.431,0.99515,0.5593,0.4671,0.375
0.3984,0.6973,0.7464,0.8138,1.1454,1.477,1.024,0.571,0.4766,0.384
